Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 9,5340,Ramsay Heights,30-34,186
Ward 6,3300,McQueen,80-84,31
Ward 4,2160,Clover Bar Area,55-59,0
Ward 1,4190,Hawin Park Estate Industrial,35-39,0
Ward 2,3360,Rampart Industrial,30-34,0
Ward 3,3080,Canossa,80-84,15
Ward 2,3350,Prince Charles,40-44,74
Ward 12,6444,Laurel,10-14,762
Ward 11,6680,Satoo,5-9,194
Ward 2,3240,Inglewood,60-64,318
Ward 7,2100,Beverly Heights,15-19,111
Ward 8,6730,Terrace Heights,Prefer Not to Answer,371
Ward 2,3170,Dovercourt,65-69,76
Ward 11,6020,Avonmore,20-24,94
Ward 10,5470,Steinhauer,50-54,118
Ward 8,5200,Garneau,75-79,102
Ward 10,5120,Calgary Trail South,75-79,0
Ward 9,5130,Carter Crest,80-84,46
Ward 10,5180,Ermineskin,65-69,220
Ward 8,6180,Eastgate Business Park,25-29,0
Ward 9,4013,Anthony Henday Terwillegar,50-54,0
Ward 1,4510,Stone Industrial,50-54,0
Ward 9,5610,Haddow,5-9,205
Ward 10,5490,Sweet Grass,50-54,136
Ward 2,4150,Gagnon Estate Industrial,50-54,0
Ward 4,2521,McConachie Area,65-69,129
Ward 5,4140,Elmwood,0-4,132
Ward 4,2070,Belmont,20-24,277
Ward 5,4380,Ormsby Place,25-29,326
Ward 4,2630,River Valley Hermitage,10-14,0
Ward 10,5180,Ermineskin,20-24,312
Ward 10,5220,Greenfield,0-4,113
Ward 8,6061,Capilano,65-69,188
Ward 2,3470,Carlton,40-44,428
Ward 10,5320,Pleasantview,75-79,91
Ward 12,6660,Rural South East,55-59,0
Ward 3,2440,Klarvatten,45-49,412
Ward 1,4190,Hawin Park Estate Industrial,20-24,0
Ward 11,6650,Rosedale Industrial,75-79,0
Ward 9,5469,Paisley,65-69,10
Ward 5,4610,Westridge,85+,34
Ward 1,4060,Britannia Youngstown,0-4,217
Ward 4,2110,Brintnell,Prefer Not to Answer,812
Ward 11,6600,Richfield,15-19,260
Ward 3,2260,Evansdale,5-9,388
Ward 1,4620,Westview Village,10-14,59
Ward 11,6160,Davies Industrial East,35-39,0
Ward 1,4640,Wilson Industrial,65-69,0
Ward 11,6430,McIntyre Industrial,85+,0
Ward 9,5640,Terwillegar Towne,15-19,462
Ward 7,2090,Bergman,50-54,92
Ward 5,4140,Elmwood,20-24,180
Ward 4,2340,Hollick-Kenyon,60-64,296
Ward 7,1130,Elmwood Park,65-69,45
Ward 2,4050,Bonaventure Industrial,20-24,0
Ward 2,1111,Blatchford Area,15-19,0
Ward 3,3180,Dunluce,65-69,309
Ward 7,1190,River Valley Kinnaird,65-69,0
Ward 9,5090,Brookside,80-84,56
Ward 11,6750,Tipaskan,55-59,108
Ward 1,4130,Edmiston Industrial,85+,0
Ward 12,6444,Laurel,35-39,1221
Ward 9,5405,River Valley Windermere,25-29,0
Ward 10,5180,Ermineskin,45-49,296
Ward 10,5010,Allendale,25-29,293
Ward 1,4090,Canora,65-69,115
Ward 4,4022,Anthony Henday Clareview,85+,0
Ward 5,4220,Jamieson Place,85+,40
Ward 1,4290,Mayfield,10-14,86
Ward 5,4140,Elmwood,5-9,156
Ward 9,5570,Windermere,35-39,1207
Ward 2,3350,Prince Charles,Prefer Not to Answer,234
Ward 9,5130,Carter Crest,20-24,104
Ward 6,1210,Riverdale,20-24,55
Ward 11,6100,Coronet Industrial,40-44,0
Ward 8,6310,Holyrood,60-64,202
Ward 1,4600,West Sheffield Industrial,0-4,0
Ward 2,1280,Yellowhead Corridor West,80-84,0
Ward 6,3440,Westmount,Prefer Not to Answer,580
Ward 4,2541,Miller,20-24,159
Ward 2,4150,Gagnon Estate Industrial,5-9,0
Ward 9,5469,Paisley,20-24,58
Ward 2,4015,Anthony Henday Mistatim,70-74,0
Ward 8,6061,Capilano,35-39,157
Ward 4,2340,Hollick-Kenyon,0-4,340
Ward 9,5340,Ramsay Heights,35-39,229
Ward 1,4090,Canora,85+,20
Ward 7,2010,Abbottsfield,10-14,155
Ward 2,4320,Mistatim Industrial,50-54,0
Ward 12,6390,Larkspur,10-14,307
Ward 2,3230,Huff Bremner Estate Industrial,70-74,0
Ward 11,6110,CPR Irvine,0-4,2
Ward 4,2681,Edmonton Energy And Technology Park,30-34,6
Ward 8,6230,Forest Heights,65-69,200
Ward 4,2340,Hollick-Kenyon,85+,30
Ward 11,6420,Maple Ridge Industrial,80-84,0
Ward 8,6550,Ottewell,40-44,363
Ward 5,3382,River Valley Laurier,10-14,0
Ward 4,2145,Clareview Town Centre,40-44,239
Ward 7,2020,Balwin,85+,81
Ward 5,4570,Wedgewood Heights,55-59,168
Ward 2,3290,McArthur Industrial,60-64,0
Ward 5,4461,The Hamptons,35-39,1208
Ward 3,2260,Evansdale,30-34,268
Ward 11,6690,Southeast Industrial,25-29,0
Ward 7,2230,Delwood,25-29,189
Ward 2,3230,Huff Bremner Estate Industrial,45-49,0
Ward 2,3240,Inglewood,45-49,348
Ward 8,6061,Capilano,75-79,88
Ward 2,4150,Gagnon Estate Industrial,70-74,0
Ward 2,3410,Sherbrooke,10-14,129
Ward 1,4630,White Industrial,60-64,0
Ward 8,6380,Lambton Industrial,75-79,0
Ward 11,6780,Weir Industrial,30-34,0
Ward 12,6443,Tamarack,10-14,510
Ward 9,5464,Heritage Valley Town Centre Area,30-34,95
Ward 11,6680,Satoo,65-69,208
Ward 1,4485,Lewis Farms Industrial,70-74,2
Ward 5,3270,Laurier Heights,Prefer Not to Answer,418
Ward 1,4540,Terra Losa,80-84,125
Ward 2,4210,High Park Industrial,15-19,0
Ward 5,4466,Cameron Heights,30-34,100
Ward 10,5458,Allard,10-14,427
Ward 1,4340,Morin Industrial,40-44,0
Ward 4,2720,York,10-14,155
Ward 1,4540,Terra Losa,40-44,92
Ward 11,6090,Coronet Addition Industrial,55-59,0
Ward 8,5290,McKernan,20-24,508
Ward 10,5220,Greenfield,65-69,168
Ward 7,2290,Glengarry,0-4,128
Ward 8,6061,Capilano,30-34,118
Ward 4,4019,Anthony Henday Energy Park,0-4,0
Ward 11,6510,Mill Woods Park,75-79,0
Ward 2,4023,Anthony Henday Rampart,5-9,0
Ward 4,2251,Ebbers,Prefer Not to Answer,34
Ward 12,6216,The Orchards At Ellerslie,50-54,131
Ward 2,3050,Brown Industrial,70-74,0
Ward 8,6061,Capilano,85+,97
Ward 9,8888,Edmonton South West,Prefer Not to Answer,17
Ward 11,6610,Ritchie,60-64,213
Ward 1,4471,Trumpeter Area,85+,2
Ward 10,5530,University of Alberta Farm,Prefer Not to Answer,0
Ward 11,6560,Papaschase Industrial,70-74,0
Ward 5,4461,The Hamptons,85+,30
Ward 7,1160,Parkdale,80-84,26
Ward 3,4016,Anthony Henday Castledowns,25-29,0
Ward 4,2110,Brintnell,40-44,554
Ward 7,2640,River Valley Highlands,70-74,0
Ward 8,6180,Eastgate Business Park,Prefer Not to Answer,0
Ward 10,5453,Blackmud Creek,30-34,143
Ward 5,4464,The Uplands,65-69,1
Ward 2,4330,Mitchell Industrial,55-59,0
Ward 12,6442,Silver Berry,35-39,760
Ward 9,5452,MacEwan,10-14,319
Ward 10,5430,Royal Gardens,70-74,92
Ward 2,3020,Baranow,25-29,175
Ward 5,4463,Riverview Area,10-14,25
Ward 1,4500,Sherwood,65-69,52
Ward 1,4650,Winterburn Industrial Area East,45-49,0
Ward 12,6663,Decoteau,75-79,6
Ward 10,5430,Royal Gardens,60-64,176
Ward 11,6720,Tawa,60-64,142
Ward 11,6430,McIntyre Industrial,65-69,0
Ward 1,4487,Secord,35-39,736
Ward 1,4730,Suder Greens,85+,19
Ward 7,1100,Eastwood,35-39,210
Ward 6,1030,Central McDougall,55-59,221
Ward 11,6650,Rosedale Industrial,65-69,0
Ward 4,2130,Casselman,45-49,209
Ward 11,6720,Tawa,50-54,81
Ward 10,5453,Blackmud Creek,65-69,123
Ward 10,8887,Edmonton South Central,45-49,2
Ward 11,6700,Strathcona Industrial Park,0-4,0
Ward 10,5220,Greenfield,25-29,180
Ward 8,5370,River Valley Mayfair,25-29,0
Ward 4,2120,Canon Ridge,50-54,86
Ward 3,2241,Eaux Claires,30-34,249
Ward 3,3030,Baturyn,25-29,288
Ward 4,2340,Hollick-Kenyon,5-9,443
Ward 7,2290,Glengarry,35-39,182
Ward 8,5330,Queen Alexandra,0-4,125
Ward 2,3360,Rampart Industrial,50-54,0
Ward 11,6760,Tweddle Place,65-69,129
Ward 2,1250,Westwood,40-44,149
Ward 9,5130,Carter Crest,70-74,114
Ward 10,5511,Twin Brooks,70-74,274
Ward 12,6213,Summerside,75-79,130
Ward 10,5530,University of Alberta Farm,75-79,0
Ward 1,4530,Sunwapta Industrial,30-34,0
Ward 4,2710,Sifton Park,85+,12
Ward 11,6400,Lee Ridge,70-74,114
Ward 11,6260,Girard Industrial,Prefer Not to Answer,0
Ward 7,2090,Bergman,45-49,70
Ward 1,4475,Kinokamau Plains Area,20-24,5
Ward 1,4190,Hawin Park Estate Industrial,60-64,0
Ward 11,6650,Rosedale Industrial,55-59,0
Ward 5,4451,River Valley Oleskiw,65-69,0
Ward 8,6180,Eastgate Business Park,85+,0
Ward 10,5540,Westbrook Estates,0-4,33
Ward 2,3360,Rampart Industrial,65-69,0
Ward 4,2670,Rural North East Horse Hill,80-84,1
Ward 5,4464,The Uplands,5-9,19
Ward 9,5468,Graydon Hill,10-14,23
Ward 6,1140,McCauley,30-34,207
Ward 4,2320,Hairsine,10-14,99
Ward 2,3350,Prince Charles,5-9,65
Ward 6,3310,North Glenora,0-4,114
Ward 8,5151,Strathcona Junction,85+,0
Ward 2,3111,Griesbach,25-29,310
Ward 4,2671,Marquis,40-44,4
Ward 11,6460,Meyokumin,60-64,187
Ward 9,5579,Glenridding Ravine,70-74,0
Ward 11,6010,Argyll,50-54,58
Ward 2,3260,Lauderdale,20-24,158
Ward 7,2560,Newton,10-14,91
Ward 8,6270,Gold Bar,15-19,158
Ward 9,5570,Windermere,20-24,537
Ward 5,4440,River Valley Lessard North,5-9,0
Ward 11,6640,Roper Industrial,70-74,0
Ward 1,4473,Hawks Ridge,85+,0
Ward 2,3350,Prince Charles,45-49,81
Ward 10,5210,Grandview Heights,35-39,39
Ward 5,4462,Edgemont,65-69,82
Ward 2,3390,Rosslyn,70-74,118
Ward 7,2100,Beverly Heights,45-49,180
Ward 5,4110,Dechene,40-44,75
Ward 2,3111,Griesbach,75-79,77
Ward 2,4320,Mistatim Industrial,85+,0
Ward 2,3430,Wellington,Prefer Not to Answer,155
Ward 7,1100,Eastwood,80-84,25
Ward 4,4019,Anthony Henday Energy Park,25-29,0
Ward 11,6500,Mill Woods Golf Course,70-74,0
Ward 12,6444,Laurel,85+,26
Ward 10,5511,Twin Brooks,50-54,453
Ward 4,2270,Evergreen,Prefer Not to Answer,139
Ward 10,5110,Calgary Trail North,0-4,0
Ward 6,1220,Rossdale,10-14,19
Ward 1,4640,Wilson Industrial,50-54,0
Ward 11,6560,Papaschase Industrial,75-79,0
Ward 11,6460,Meyokumin,85+,22
Ward 2,3320,Oxford,85+,42
Ward 1,4474,Starling,25-29,159
Ward 3,2050,Belle Rive,25-29,233
Ward 1,4477,Kinglet Gardens,45-49,9
Ward 1,4730,Suder Greens,35-39,236
Ward 9,5477,Mactaggart,10-14,261
Ward 5,3270,Laurier Heights,55-59,183
Ward 8,6070,Cloverdale,40-44,49
Ward 7,1240,Virginia Park,35-39,33
Ward 6,3210,Grovenor,35-39,171
Ward 1,4473,Hawks Ridge,45-49,31
Ward 2,3070,Calder,75-79,83
Ward 7,2230,Delwood,0-4,70
Ward 4,2130,Casselman,50-54,235
Ward 9,5464,Heritage Valley Town Centre Area,20-24,36
Ward 8,5390,River Valley Walterdale,5-9,0
Ward 8,5520,University of Alberta,45-49,0
Ward 3,4016,Anthony Henday Castledowns,55-59,0
Ward 9,5468,Graydon Hill,40-44,35
Ward 2,3060,Caernarvon,50-54,177
Ward 5,4430,Rio Terrace,55-59,92
Ward 10,4024,Anthony Henday South Blackburne,15-19,0
Ward 5,4120,Donsdale,20-24,82
Ward 7,2650,River Valley Rundle,0-4,0
Ward 3,3370,Rapperswill,80-84,7
Ward 10,5220,Greenfield,Prefer Not to Answer,246
Ward 2,3010,Athlone,Prefer Not to Answer,267
Ward 10,5030,Bearspaw,55-59,152
Ward 10,5458,Allard,0-4,606
Ward 6,1180,Queen Mary Park,75-79,52
Ward 5,4360,Oleskiw,Prefer Not to Answer,291
Ward 10,5590,Blackburne,0-4,46
Ward 10,5170,Empire Park,50-54,200
Ward 11,6492,Mill Creek Ravine South,55-59,0
Ward 8,5390,River Valley Walterdale,50-54,0
Ward 3,2463,Crystallina Nera West,40-44,259
Ward 2,4330,Mitchell Industrial,10-14,0
Ward 7,2550,Montrose,0-4,113
Ward 10,5170,Empire Park,10-14,151
Ward 8,6240,Fulton Place,30-34,145
Ward 3,3030,Baturyn,65-69,308
Ward 12,6216,The Orchards At Ellerslie,80-84,3
Ward 5,4080,Callingwood South,60-64,231
Ward 5,4466,Cameron Heights,40-44,195
Ward 3,3120,Chambery,Prefer Not to Answer,160
Ward 2,4050,Bonaventure Industrial,50-54,0
Ward 4,2320,Hairsine,5-9,106
Ward 10,5220,Greenfield,60-64,224
Ward 11,6260,Girard Industrial,30-34,0
Ward 9,5468,Graydon Hill,70-74,11
Ward 4,2280,Fraser,45-49,199
Ward 4,2380,Kennedale Industrial,40-44,0
Ward 4,2080,Belvedere,15-19,194
Ward 2,3170,Dovercourt,40-44,124
Ward 10,5030,Bearspaw,10-14,107
Ward 5,4280,Lynnwood,60-64,217
Ward 8,5480,Strathcona,20-24,630
Ward 4,4021,Anthony Henday Horse Hill,75-79,0
Ward 3,3190,Elsinore,75-79,70
Ward 11,6160,Davies Industrial East,Prefer Not to Answer,0
Ward 9,5579,Glenridding Ravine,Prefer Not to Answer,0
Ward 2,3240,Inglewood,Prefer Not to Answer,1782
Ward 2,3170,Dovercourt,45-49,130
Ward 4,2270,Evergreen,35-39,69
Ward 1,4487,Secord,50-54,214
Ward 8,6630,River Valley Riverside,40-44,0
Ward 10,5050,Blackmud Creek Ravine,45-49,0
Ward 8,6061,Capilano,50-54,184
Ward 6,3381,River Valley Glenora,15-19,0
Ward 7,1010,Alberta Avenue,65-69,272
Ward 4,2430,Kirkness,45-49,215
Ward 11,6690,Southeast Industrial,5-9,0
Ward 7,1240,Virginia Park,15-19,17
Ward 11,6690,Southeast Industrial,75-79,0
Ward 10,5590,Blackburne,60-64,128
Ward 2,3050,Brown Industrial,5-9,0
Ward 2,3160,Dominion Industrial,15-19,0
Ward 7,2090,Bergman,55-59,117
Ward 7,1160,Parkdale,45-49,200
Ward 1,4310,Meadowlark Park,15-19,122
Ward 2,4023,Anthony Henday Rampart,Prefer Not to Answer,0
Ward 9,5642,South Terwillegar,50-54,486
Ward 1,3380,River Valley Capitol Hill,20-24,0
Ward 9,5575,Windermere Area,85+,0
Ward 7,2580,Northmount,45-49,147
Ward 3,4016,Anthony Henday Castledowns,70-74,0
Ward 6,3210,Grovenor,80-84,30
Ward 2,3290,McArthur Industrial,65-69,0
Ward 4,2030,Bannerman,65-69,166
Ward 7,1010,Alberta Avenue,35-39,418
Ward 5,4610,Westridge,20-24,58
Ward 10,5020,Aspen Gardens,60-64,100
Ward 12,6211,Ellerslie,75-79,41
Ward 5,4380,Ormsby Place,70-74,162
Ward 10,5060,Blue Quill,0-4,241
Ward 4,2070,Belmont,Prefer Not to Answer,493
Ward 8,6630,River Valley Riverside,80-84,0
Ward 8,6180,Eastgate Business Park,75-79,0
Ward 1,4660,Youngstown Industrial,10-14,0
Ward 2,3480,Hudson,40-44,208
Ward 11,6110,CPR Irvine,25-29,28
Ward 8,6310,Holyrood,75-79,66
Ward 9,5462,Chappelle Area,45-49,378
Ward 12,6030,Bisset,65-69,189
Ward 7,2020,Balwin,70-74,122
Ward 7,2010,Abbottsfield,0-4,140
Ward 11,6010,Argyll,15-19,27
Ward 10,5120,Calgary Trail South,60-64,0
Ward 11,6195,South Edmonton Common,80-84,0
Ward 1,4580,West Jasper Place,80-84,51
Ward 11,6340,Kameyosek,85+,129
Ward 4,2270,Evergreen,70-74,89
Ward 11,6720,Tawa,65-69,137
Ward 12,6770,Weinlos,25-29,232
Ward 5,4570,Wedgewood Heights,25-29,62
Ward 9,5300,Ogilvie Ridge,55-59,85
Ward 9,4014,Anthony Henday South,85+,0
Ward 3,2260,Evansdale,25-29,269
Ward 4,2320,Hairsine,55-59,159
Ward 3,2463,Crystallina Nera West,15-19,101
Ward 4,2110,Brintnell,5-9,480
Ward 8,5480,Strathcona,0-4,224
Ward 1,4180,Glenwood,55-59,280
Ward 4,2251,Ebbers,35-39,95
Ward 9,5300,Ogilvie Ridge,50-54,69
Ward 5,4468,Stillwater,5-9,8
Ward 8,6240,Fulton Place,35-39,152
Ward 6,1200,River Valley Victoria,80-84,0
Ward 4,2120,Canon Ridge,60-64,106
Ward 4,2380,Kennedale Industrial,5-9,0
Ward 8,5330,Queen Alexandra,75-79,67
Ward 4,4021,Anthony Henday Horse Hill,10-14,0
Ward 10,5050,Blackmud Creek Ravine,5-9,0
Ward 9,5401,River Valley Fort Edmonton,10-14,0
Ward 11,6510,Mill Woods Park,20-24,0
Ward 8,6230,Forest Heights,75-79,70
Ward 1,4750,Rosenthal,85+,8
Ward 8,6040,Bonnie Doon,5-9,201
Ward 8,6061,Capilano,60-64,250
Ward 5,4360,Oleskiw,80-84,65
Ward 6,3440,Westmount,15-19,192
Ward 12,6530,Minchau,10-14,191
Ward 1,3140,Crestwood,85+,74
Ward 4,2120,Canon Ridge,5-9,133
Ward 4,2690,Rural North East South Sturgeon,80-84,5
Ward 8,5480,Strathcona,30-34,1004
Ward 10,5470,Steinhauer,25-29,106
Ward 1,4475,Kinokamau Plains Area,50-54,9
Ward 5,4467,River Valley Cameron,55-59,0
Ward 10,5470,Steinhauer,35-39,133
Ward 12,6660,Rural South East,35-39,0
Ward 9,5100,Bulyea Heights,Prefer Not to Answer,238
Ward 11,6300,Hillview,0-4,171
Ward 2,3050,Brown Industrial,20-24,0
Ward 9,5630,Leger,25-29,104
Ward 4,2690,Rural North East South Sturgeon,40-44,44
Ward 1,4060,Britannia Youngstown,55-59,325
Ward 5,4610,Westridge,10-14,90
Ward 2,3320,Oxford,20-24,268
Ward 5,4440,River Valley Lessard North,Prefer Not to Answer,0
Ward 2,3250,Kensington,80-84,221
Ward 4,2350,Homesteader,0-4,226
Ward 1,4750,Rosenthal,55-59,127
Ward 8,5520,University of Alberta,0-4,0
Ward 9,5462,Chappelle Area,5-9,650
Ward 10,5560,Whitemud Creek Ravine South,10-14,0
Ward 3,3080,Canossa,10-14,248
Ward 1,4471,Trumpeter Area,25-29,145
Ward 10,5050,Blackmud Creek Ravine,50-54,0
Ward 10,5560,Whitemud Creek Ravine South,55-59,0
Ward 5,4468,Stillwater,65-69,3
Ward 6,3310,North Glenora,75-79,33
Ward 8,6070,Cloverdale,35-39,74
Ward 9,5477,Mactaggart,50-54,205
Ward 2,4330,Mitchell Industrial,50-54,0
Ward 9,5465,Hays Ridge Area,25-29,10
Ward 1,3140,Crestwood,50-54,153
Ward 12,6661,Charlesworth,50-54,270
Ward 1,4750,Rosenthal,0-4,289
Ward 1,4477,Kinglet Gardens,85+,1
Ward 6,1140,McCauley,80-84,52
Ward 1,3330,Parkview,75-79,87
Ward 1,4090,Canora,5-9,134
Ward 11,6160,Davies Industrial East,20-24,0
Ward 7,2040,Beacon Heights,5-9,138
Ward 9,5230,Henderson Estates,60-64,167
Ward 7,1130,Elmwood Park,80-84,16
Ward 9,5405,River Valley Windermere,85+,0
Ward 1,4180,Glenwood,75-79,179
Ward 8,5290,McKernan,75-79,33
Ward 2,1250,Westwood,70-74,56
Ward 6,3381,River Valley Glenora,45-49,0
Ward 11,6570,Parsons Industrial,25-29,0
Ward 2,3470,Carlton,15-19,337
Ward 1,4710,Potter Greens,45-49,73
Ward 9,5340,Ramsay Heights,50-54,184
Ward 3,3080,Canossa,50-54,245
Ward 8,5480,Strathcona,70-74,244
Ward 1,4500,Sherwood,85+,23
Ward 4,2080,Belvedere,50-54,301
Ward 2,3340,Pembina,50-54,41
Ward 2,4170,Garside Industrial,75-79,0
Ward 2,4330,Mitchell Industrial,0-4,0
Ward 7,1160,Parkdale,65-69,158
Ward 1,3380,River Valley Capitol Hill,65-69,0
Ward 1,3330,Parkview,70-74,135
Ward 10,5030,Bearspaw,50-54,108
Ward 3,2410,Kilkenny,65-69,210
Ward 2,3230,Huff Bremner Estate Industrial,40-44,0
Ward 4,2251,Ebbers,65-69,15
Ward 11,6750,Tipaskan,65-69,128
Ward 9,5454,Rutherford,5-9,876
Ward 10,5060,Blue Quill,80-84,48
Ward 5,4468,Stillwater,35-39,28
Ward 4,2270,Evergreen,0-4,37
Ward 5,4570,Wedgewood Heights,50-54,113
Ward 1,4100,Carleton Square Industrial,70-74,0
Ward 2,1250,Westwood,35-39,220
Ward 5,4430,Rio Terrace,60-64,92
Ward 8,6230,Forest Heights,35-39,282
Ward 11,6610,Ritchie,0-4,162
Ward 12,6662,Walker,20-24,514
Ward 3,4016,Anthony Henday Castledowns,40-44,0
Ward 5,4430,Rio Terrace,10-14,82
Ward 5,4467,River Valley Cameron,35-39,0
Ward 10,5511,Twin Brooks,55-59,511
Ward 5,4360,Oleskiw,65-69,246
Ward 10,5260,Lansdowne,5-9,65
Ward 4,2311,Gorman,55-59,0
Ward 5,4468,Stillwater,45-49,12
Ward 2,3240,Inglewood,20-24,342
Ward 10,5020,Aspen Gardens,Prefer Not to Answer,96
Ward 4,2311,Gorman,45-49,0
Ward 10,5560,Whitemud Creek Ravine South,35-39,0
Ward 7,1240,Virginia Park,70-74,25
Ward 1,4090,Canora,80-84,28
Ward 6,3300,McQueen,35-39,93
Ward 1,4100,Carleton Square Industrial,60-64,0
Ward 1,4200,High Park,85+,51
Ward 12,6445,Aster,20-24,0
Ward 7,2010,Abbottsfield,20-24,95
Ward 4,2670,Rural North East Horse Hill,65-69,8
Ward 1,4300,McNamara Industrial,10-14,0
Ward 5,4390,Patricia Heights,80-84,19
Ward 9,5576,Keswick Area,40-44,175
Ward 11,6430,McIntyre Industrial,25-29,0
Ward 5,4610,Westridge,Prefer Not to Answer,51
Ward 11,6492,Mill Creek Ravine South,25-29,0
Ward 2,3260,Lauderdale,0-4,121
Ward 3,3490,Goodridge Corners,20-24,0
Ward 4,2521,McConachie Area,80-84,32
Ward 3,2450,Lago Lindo,45-49,186
Ward 4,2251,Ebbers,10-14,34
Ward 9,5080,Brander Gardens,45-49,152
Ward 3,4017,Anthony Henday Lake District,65-69,0
Ward 11,6720,Tawa,15-19,92
Ward 5,4570,Wedgewood Heights,45-49,61
Ward 10,5010,Allendale,0-4,90
Ward 4,2030,Bannerman,40-44,152
Ward 9,5469,Paisley,Prefer Not to Answer,81
Ward 12,6442,Silver Berry,0-4,428
Ward 2,1111,Blatchford Area,35-39,0
Ward 10,5530,University of Alberta Farm,20-24,0
Ward 3,3120,Chambery,0-4,128
Ward 4,2350,Homesteader,5-9,330
Ward 6,3310,North Glenora,50-54,114
Ward 5,4469,River's Edge,20-24,0
Ward 5,4570,Wedgewood Heights,30-34,38
Ward 2,3340,Pembina,60-64,31
Ward 12,6770,Weinlos,40-44,202
Ward 11,6780,Weir Industrial,15-19,0
Ward 8,6070,Cloverdale,5-9,31
Ward 3,2462,Crystallina Nera East,35-39,0
Ward 10,5170,Empire Park,Prefer Not to Answer,465
Ward 9,5640,Terwillegar Towne,0-4,265
Ward 2,3020,Baranow,5-9,135
Ward 2,3150,Cumberland,35-39,469
Ward 12,6443,Tamarack,55-59,181
Ward 4,4021,Anthony Henday Horse Hill,30-34,0
Ward 1,4590,West Meadowlark Park,20-24,170
Ward 2,3470,Carlton,5-9,419
Ward 9,5300,Ogilvie Ridge,45-49,34
Ward 11,6400,Lee Ridge,35-39,170
Ward 10,5170,Empire Park,70-74,82
Ward 2,1230,Spruce Avenue,70-74,26
Ward 11,6700,Strathcona Industrial Park,80-84,0
Ward 7,2330,Highlands,35-39,168
Ward 1,4486,Stewart Greens,85+,0
Ward 9,5350,Rhatigan Ridge,15-19,168
Ward 10,5460,Skyrattler,35-39,147
Ward 4,2030,Bannerman,10-14,186
Ward 4,2670,Rural North East Horse Hill,15-19,11
Ward 5,4110,Dechene,65-69,138
Ward 9,5477,Mactaggart,60-64,145
Ward 8,6491,Mill Creek Ravine North,65-69,0
Ward 2,3090,Carlisle,15-19,204
Ward 3,2463,Crystallina Nera West,Prefer Not to Answer,526
Ward 5,4570,Wedgewood Heights,40-44,86
Ward 12,6213,Summerside,60-64,408
Ward 5,4360,Oleskiw,30-34,93
Ward 9,4013,Anthony Henday Terwillegar,65-69,0
Ward 4,2541,Miller,60-64,151
Ward 4,2340,Hollick-Kenyon,70-74,143
Ward 10,5070,Blue Quill Estates,60-64,71
Ward 8,6350,Kenilworth,10-14,92
Ward 9,5576,Keswick Area,15-19,52
Ward 7,2550,Montrose,80-84,29
Ward 4,2590,Overlanders,80-84,21
Ward 10,5310,Parkallen,40-44,132
Ward 4,2720,York,70-74,113
Ward 11,6360,King Edward Park,55-59,301
Ward 11,6290,Hazeldean,20-24,148
Ward 1,4500,Sherwood,45-49,65
Ward 4,2671,Marquis,60-64,9
Ward 4,2541,Miller,75-79,64
Ward 1,4650,Winterburn Industrial Area East,75-79,0
Ward 1,4011,Anthony Henday,25-29,0
Ward 1,4290,Mayfield,30-34,135
Ward 11,6160,Davies Industrial East,25-29,0
Ward 12,6030,Bisset,55-59,190
Ward 1,4190,Hawin Park Estate Industrial,75-79,0
Ward 1,4485,Lewis Farms Industrial,Prefer Not to Answer,45
Ward 9,5401,River Valley Fort Edmonton,0-4,0
Ward 10,5120,Calgary Trail South,80-84,0
Ward 1,4730,Suder Greens,0-4,162
Ward 1,4485,Lewis Farms Industrial,25-29,3
Ward 4,2541,Miller,0-4,160
Ward 4,2720,York,40-44,198
Ward 3,3370,Rapperswill,25-29,189
Ward 2,1250,Westwood,65-69,93
Ward 7,2360,Industrial Heights,65-69,0
Ward 2,3360,Rampart Industrial,20-24,0
Ward 7,2650,River Valley Rundle,25-29,0
Ward 8,6630,River Valley Riverside,85+,0
Ward 9,5570,Windermere,5-9,900
Ward 2,4210,High Park Industrial,20-24,0
Ward 5,4462,Edgemont,20-24,122
Ward 2,4330,Mitchell Industrial,65-69,0
Ward 11,6510,Mill Woods Park,10-14,0
Ward 7,2420,Killarney,60-64,211
Ward 9,5340,Ramsay Heights,85+,36
Ward 9,5578,Glenridding Heights,Prefer Not to Answer,341
Ward 8,5200,Garneau,30-34,746
Ward 5,4380,Ormsby Place,60-64,389
Ward 10,5590,Blackburne,5-9,54
Ward 7,2060,Bellevue,45-49,69
Ward 3,3280,Lorelei,25-29,238
Ward 11,6110,CPR Irvine,15-19,0
Ward 7,2580,Northmount,70-74,157
Ward 11,6110,CPR Irvine,35-39,17
Ward 7,1190,River Valley Kinnaird,Prefer Not to Answer,0
Ward 11,6720,Tawa,75-79,67
Ward 9,5476,Magrath Heights,40-44,324
Ward 7,2580,Northmount,55-59,193
Ward 9,4014,Anthony Henday South,50-54,0
Ward 9,5401,River Valley Fort Edmonton,65-69,0
Ward 4,2611,Cy Becker,60-64,47
Ward 7,2290,Glengarry,15-19,138
Ward 2,4050,Bonaventure Industrial,85+,0
Ward 7,2400,Kildare,50-54,131
Ward 11,6100,Coronet Industrial,0-4,0
Ward 1,4020,Aldergrove,0-4,259
Ward 2,3430,Wellington,65-69,133
Ward 9,5454,Rutherford,65-69,365
Ward 2,3350,Prince Charles,20-24,79
