Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 4,2720,York,Prefer Not to Answer,1084
Ward 1,4490,Sheffield Industrial,40-44,0
Ward 8,6180,Eastgate Business Park,15-19,0
Ward 4,2130,Casselman,60-64,176
Ward 2,3480,Hudson,0-4,138
Ward 10,5280,Malmo Plains,55-59,139
Ward 6,1150,Oliver,70-74,703
Ward 10,5550,Whitemud Creek Ravine North,80-84,0
Ward 7,1070,Cromdale,65-69,73
Ward 10,5320,Pleasantview,85+,60
Ward 2,4150,Gagnon Estate Industrial,40-44,0
Ward 5,4464,The Uplands,20-24,12
Ward 4,2130,Casselman,10-14,250
Ward 7,1240,Virginia Park,0-4,16
Ward 3,3490,Goodridge Corners,Prefer Not to Answer,1681
Ward 1,4740,Webber Greens,40-44,242
Ward 7,1160,Parkdale,20-24,202
Ward 12,6663,Decoteau,Prefer Not to Answer,67
Ward 11,6590,Pylypow Industrial,35-39,0
Ward 9,5300,Ogilvie Ridge,40-44,57
Ward 5,4160,Gariepy,35-39,123
Ward 9,5452,MacEwan,75-79,123
Ward 9,4014,Anthony Henday South,30-34,0
Ward 1,4477,Kinglet Gardens,55-59,10
Ward 1,4130,Edmiston Industrial,30-34,0
Ward 1,4620,Westview Village,25-29,87
Ward 2,3350,Prince Charles,25-29,97
Ward 10,5560,Whitemud Creek Ravine South,20-24,0
Ward 9,5578,Glenridding Heights,45-49,238
Ward 1,4650,Winterburn Industrial Area East,30-34,0
Ward 10,5457,Callaghan,50-54,206
Ward 10,5530,University of Alberta Farm,80-84,0
Ward 11,6700,Strathcona Industrial Park,70-74,0
Ward 9,5454,Rutherford,10-14,871
Ward 7,2060,Bellevue,10-14,39
Ward 7,1130,Elmwood Park,40-44,57
Ward 3,3080,Canossa,60-64,175
Ward 8,6550,Ottewell,0-4,250
Ward 2,4170,Garside Industrial,60-64,0
Ward 2,3170,Dovercourt,50-54,133
Ward 8,5200,Garneau,20-24,1448
Ward 8,6040,Bonnie Doon,0-4,202
Ward 1,4410,Poundmaker Industrial,10-14,0
Ward 8,5040,Belgravia,65-69,163
Ward 1,4700,Breckenridge Greens,45-49,135
Ward 10,5457,Callaghan,15-19,203
Ward 7,2560,Newton,5-9,121
Ward 8,6491,Mill Creek Ravine North,85+,0
Ward 3,2440,Klarvatten,25-29,359
Ward 7,1010,Alberta Avenue,80-84,49
Ward 11,6670,Sakaw,35-39,273
Ward 5,4160,Gariepy,70-74,120
Ward 1,4487,Secord,85+,3
Ward 11,6195,South Edmonton Common,30-34,0
Ward 10,5020,Aspen Gardens,30-34,74
Ward 7,1070,Cromdale,50-54,112
Ward 7,1130,Elmwood Park,85+,16
Ward 4,2590,Overlanders,40-44,161
Ward 9,5465,Hays Ridge Area,55-59,24
Ward 10,5460,Skyrattler,45-49,106
Ward 9,5300,Ogilvie Ridge,70-74,80
Ward 2,3360,Rampart Industrial,Prefer Not to Answer,0
Ward 12,6662,Walker,65-69,214
Ward 12,6530,Minchau,25-29,189
Ward 11,6520,Mill Woods Town Centre,5-9,33
Ward 1,4580,West Jasper Place,45-49,159
Ward 1,4474,Starling,5-9,84
Ward 12,6580,Pollard Meadows,30-34,397
Ward 8,6320,Idylwylde,25-29,142
Ward 10,5060,Blue Quill,50-54,203
Ward 4,2681,Edmonton Energy And Technology Park,Prefer Not to Answer,341
Ward 6,1020,Boyle Street,0-4,205
Ward 11,6700,Strathcona Industrial Park,85+,0
Ward 10,5320,Pleasantview,15-19,150
